recorder_folder,DATE,TIME,LON,LAT,BAT,TEMP,HUMI,FILE,GAIN,SAMPLE RATE,CHANNEL,NOTE,wav_file,birdnet_start_s,birdnet_end_s,peak_time_s,gcc_start_s,gcc_end_s,tdoa_ms,lag_samples,bearing_1_deg,bearing_2_deg,detected_by,source_file,site_id,lon_deg,lat_deg,recording_datetime,recording_start,recording_block_key,event_time,easting_m,northing_m,canonical_easting_m,canonical_northing_m,corrected_event_time,event_id,abs_tdoa_ms
Recorder 2 - 0304 to 1004,04-10-2026,07:09:03,1.91834W,50.94073N,100%,3C,82%,2_20260410_070903.wav,AGC,48kHz,stereo,Part2,2_20260410_070903.wav,51.0,54.0,53.55835416666667,53.30835416666667,53.80835416666667,0.2486979166666666,11.9375,34.65887269097194,145.34112730902805,"left,right",pheasant_results_sd2.csv,2,-1.91834,50.94073,2026-04-10 07:09:03+01:00,2026-04-10 07:09:03+01:00,2026-04-10_07:09:03,2026-04-10 07:09:56.558354+01:00,405833.91696353175,115701.83032429396,405833.91696353175,115702.94238304385,2026-04-10 07:09:56.558354+01:00,3,0.2486979166666666
Recorder 3 0304 - 1004,04-10-2026,07:09:03,1.92069W,50.94217N,100%,3C,78%,3_20260410_070903.wav,AGC,48kHz,stereo,Part2,3_20260410_070903.wav,192.0,195.0,194.62654166666667,194.37654166666667,194.87654166666667,0.1640625,7.875000000000001,22.033970367999984,157.96602963200002,"left,right",pheasant_results_sd2.csv,3,-1.92069,50.94217,2026-04-10 07:09:03+01:00,2026-04-10 07:09:03+01:00,2026-04-10_07:09:03,2026-04-10 07:12:17.626542+01:00,405668.6320662362,115861.78730242923,405670.7350641857,115866.23779697344,2026-04-10 07:12:17.626542+01:00,3,0.1640625
Recorder 6 - 0304 to 1004,04-10-2026,07:09:03,1.92448W,50.93973N,100%,2C,87%,6_20260410_070903.wav,AGC,48kHz,stereo,Part2,6_20260410_070903.wav,405.0,408.0,407.09141666666665,406.84141666666665,407.34141666666665,0.2096354166666666,10.0625,28.64402351587954,151.35597648412045,"left,right",pheasant_results_sd2.csv,6,-1.92448,50.93973,2026-04-10 07:09:03+01:00,2026-04-10 07:09:03+01:00,2026-04-10_07:09:03,2026-04-10 07:15:50.091417+01:00,405402.6278269988,115590.16653383299,405405.43492317986,115592.39495217375,2026-04-10 07:15:50.091417+01:00,3,0.2096354166666666
Recorder 5 - 0304 to 1004,04-10-2026,07:09:03,1.92338W,50.94177N,100%,3C,81%,5_20260410_070903.wav,AGC,48kHz,stereo,Part2,5_20260410_070903.wav,1374.0,1377.0,1374.7278541666667,1374.4778541666667,1374.9778541666667,0.1263020833333333,6.0625,16.78677158463084,163.21322841536914,"left,right",pheasant_results_sd2.csv,5,-1.92338,50.94177,2026-04-10 07:09:03+01:00,2026-04-10 07:09:03+01:00,2026-04-10_07:09:03,2026-04-10 07:31:57.727854+01:00,405479.68183882686,115817.10592435815,405478.2778005708,115815.99241150077,2026-04-10 07:31:57.727854+01:00,3,0.1263020833333333
Recorder 2 - 1004 to 1704,04-12-2026,19:12:03,1.91835W,50.94075N,100%,14C,53%,2_20260412_191203.wav,AGC,48kHz,stereo,Part2,2_20260412_191203.wav,438.0,441.0,439.0971875,438.8471875,439.3471875,-0.0611979166666666,-2.9375,351.955669880539,188.044330119461,"left,right",pheasant_results_sd1.csv,2,-1.91835,50.94075,2026-04-12 19:12:03+01:00,2026-04-12 19:12:03+01:00,2026-04-12_19:12:03,2026-04-12 19:19:22.097188+01:00,405833.2119004521,115704.0536668098,405833.91696353175,115702.94238304385,2026-04-12 19:19:22.097188+01:00,4,0.0611979166666666
Recorder 1 - 1004 to 1704,04-12-2026,19:12:03,1.91772W,50.94279N,100%,15C,47%,1_20260412_191203.wav,AGC,48kHz,stereo,Part2,1_20260412_191203.wav,1332.0,1335.0,1334.6339375,1334.3839375,1334.8839375,0.4140625,19.875,71.23089896104412,108.76910103895588,"left,right",pheasant_results_sd1.csv,1,-1.91772,50.94279,2026-04-12 19:12:03+01:00,2026-04-12 19:12:03+01:00,2026-04-12_19:12:03,2026-04-12 19:34:17.633938+01:00,405877.2241577801,115930.96270176416,405877.2241577801,115930.96270176416,2026-04-12 19:34:17.633938+01:00,4,0.4140625
Recorder 6 - 1004 to 1704,04-12-2026,19:12:03,1.92444W,50.93976N,100%,11C,60%,6_20260412_191203.wav,AGC,48kHz,stereo,Part2,6_20260412_191203.wav,1749.0,1752.0,1750.0553958333333,1749.8053958333333,1750.3053958333333,0.375,18.0,59.03703129067228,120.96296870932773,"left,right",pheasant_results_sd3.csv,6,-1.92444,50.93976,2026-04-12 19:12:03+01:00,2026-04-12 19:12:03+01:00,2026-04-12_19:12:03,2026-04-12 19:41:13.055396+01:00,405405.43492317986,115593.50557667058,405405.43492317986,115592.39495217375,2026-04-12 19:41:13.055396+01:00,4,0.375
Recorder 3 - 1004 to 1704,04-14-2026,07:09:03,1.92066W,50.94221N,100%,5C,96%,3_20260414_070903.wav,AGC,48kHz,stereo,Part2,3_20260414_070903.wav,333.0,336.0,335.0595,334.8095,335.3095,0.20703125,9.9375,28.25597053916863,151.74402946083137,"left,right",pheasant_results_sd1.csv,3,-1.92066,50.94221,2026-04-14 07:09:03+01:00,2026-04-14 07:09:03+01:00,2026-04-14_07:09:03,2026-04-14 07:14:38.059500+01:00,405670.7350641857,115866.23779697344,405670.7350641857,115866.23779697344,2026-04-14 07:14:38.059500+01:00,5,0.20703125
Recorder 2 - 1004 to 1704,04-14-2026,07:09:03,1.91835W,50.94075N,100%,6C,98%,2_20260414_070903.wav,AGC,48kHz,stereo,Part2,2_20260414_070903.wav,489.0,492.0,490.8351666666667,490.5851666666667,491.0851666666667,0.3958333333333333,19.0,64.84199555654006,115.15800444345994,"left,right",pheasant_results_sd1.csv,2,-1.91835,50.94075,2026-04-14 07:09:03+01:00,2026-04-14 07:09:03+01:00,2026-04-14_07:09:03,2026-04-14 07:17:13.835167+01:00,405833.2119004521,115704.0536668098,405833.91696353175,115702.94238304385,2026-04-14 07:17:13.835167+01:00,5,0.3958333333333333
Recorder 6 - 1004 to 1704,04-14-2026,07:09:03,1.92444W,50.93976N,100%,5C,99%,6_20260414_070903.wav,AGC,48kHz,stereo,Part2,6_20260414_070903.wav,1245.0,1248.0,1246.61625,1246.36625,1246.86625,-0.25,-12.0,325.1334705496143,214.8665294503857,"left,right",pheasant_results_sd3.csv,6,-1.92444,50.93976,2026-04-14 07:09:03+01:00,2026-04-14 07:09:03+01:00,2026-04-14_07:09:03,2026-04-14 07:29:49.616250+01:00,405405.43492317986,115593.50557667058,405405.43492317986,115592.39495217375,2026-04-14 07:29:49.616250+01:00,5,0.25
