site_id,n_detections,n_unique_locations,canonical_easting_m,canonical_northing_m,canonical_lon_deg,canonical_lat_deg
1,12,3,405877.2241577801,115930.96270176416,-1.9177199886877283,50.942789994940796
2,30,4,405833.91696353175,115702.94238304385,-1.9183399712301719,50.94073999492704
3,31,4,405670.7350641857,115866.23779697344,-1.9206599886896285,50.94220999494029
4,3,2,405623.2001221257,115639.32681127204,-1.9213399886910831,50.94016999493874
5,36,5,405478.2778005708,115815.99241150077,-1.9233999886913513,50.941759994939886
6,105,5,405405.43492317986,115592.39495217375,-1.9244400048221308,50.939750007844644
