recorder_folder,DATE,TIME,LON,LAT,BAT,TEMP,HUMI,FILE,GAIN,SAMPLE RATE,CHANNEL,NOTE,wav_file,birdnet_start_s,birdnet_end_s,peak_time_s,gcc_start_s,gcc_end_s,tdoa_ms,lag_samples,bearing_1_deg,bearing_2_deg,detected_by
Recorder 1 - 0304 to 1004,04-03-2026,19:12:08,1.91773W,50.94273N,100%,12C,93%,1_20260403_191208.wav,AGC,48kHz,stereo,Part2,1_20260403_191208.wav,12.0,15.0,12.5769375,12.3269375,12.8269375,-0.01953125,-0.9375,357.4402354785634,182.5597645214366,"left,right"
Recorder 1 - 0304 to 1004,04-03-2026,19:12:08,1.91773W,50.94273N,100%,12C,93%,1_20260403_191208.wav,AGC,48kHz,stereo,Part2,1_20260403_191208.wav,309.0,312.0,309.47795833333333,309.22795833333333,309.72795833333333,0.020833333333333332,1.0,2.730540749448636,177.26945925055136,"left,right"
Recorder 1 - 0304 to 1004,04-03-2026,19:12:08,1.91773W,50.94273N,100%,12C,93%,1_20260403_191208.wav,AGC,48kHz,stereo,Part2,1_20260403_191208.wav,510.0,513.0,512.0484166666666,511.79841666666664,512.2984166666666,0.0013020833333333333,0.0625,0.1705944566832045,179.8294055433168,"left,right"
Recorder 1 - 0304 to 1004,04-03-2026,19:12:08,1.91773W,50.94273N,100%,12C,93%,1_20260403_191208.wav,AGC,48kHz,stereo,Part2,1_20260403_191208.wav,771.0,774.0,772.03275,771.78275,772.28275,-0.01953125,-0.9375,357.4402354785634,182.5597645214366,"left,right"
Recorder 1 - 0304 to 1004,04-03-2026,19:12:08,1.91773W,50.94273N,100%,12C,93%,1_20260403_191208.wav,AGC,48kHz,stereo,Part2,1_20260403_191208.wav,1197.0,1200.0,1199.7666666666667,1199.5166666666667,1200.0,0.0,0.0,0.0,180.0,"left,right"
Recorder 1 - 0304 to 1004,04-03-2026,19:12:08,1.91773W,50.94273N,100%,12C,93%,1_20260403_191208.wav,AGC,48kHz,stereo,Part2,1_20260403_191208.wav,1551.0,1554.0,1553.773125,1553.523125,1554.0,0.0013020833333333333,0.0625,0.1705944566832045,179.8294055433168,"left,right"
Recorder 1 - 0304 to 1004,04-03-2026,19:12:08,1.91773W,50.94273N,100%,12C,93%,1_20260403_191208.wav,AGC,48kHz,stereo,Part2,1_20260403_191208.wav,1554.0,1557.0,1556.6647083333332,1556.4147083333332,1556.9147083333332,0.0,0.0,0.0,180.0,"left,right"
Recorder 1 - 0304 to 1004,04-04-2026,06:39:02,1.91770W,50.94274N,100%,7C,98%,1_20260404_063902.wav,AGC,48kHz,stereo,Part1,1_20260404_063902.wav,651.0,654.0,653.6391041666667,653.3891041666667,653.8891041666667,0.0013020833333333333,0.0625,0.1705944566832045,179.8294055433168,"left,right"
Recorder 1 - 0304 to 1004,04-04-2026,06:39:02,1.91770W,50.94274N,100%,7C,98%,1_20260404_063902.wav,AGC,48kHz,stereo,Part1,1_20260404_063902.wav,1002.0,1005.0,1003.4175625,1003.1675625,1003.6675625,0.0013020833333333333,0.0625,0.1705944566832045,179.8294055433168,"left,right"
Recorder 1 - 0304 to 1004,04-04-2026,06:39:02,1.91770W,50.94274N,100%,7C,98%,1_20260404_063902.wav,AGC,48kHz,stereo,Part1,1_20260404_063902.wav,1722.0,1725.0,1723.6107708333334,1723.3607708333334,1723.8607708333334,-0.0013020833333333333,-0.0625,359.8294055433168,180.1705944566832,"left,right"
Recorder 1 - 0304 to 1004,04-05-2026,18:42:02,1.91770W,50.94274N,100%,16C,38%,1_20260405_184202.wav,AGC,48kHz,stereo,Part1,1_20260405_184202.wav,177.0,180.0,179.20164583333334,178.95164583333334,179.45164583333334,0.0,0.0,0.0,180.0,"left,right"
Recorder 1 - 0304 to 1004,04-05-2026,18:42:02,1.91770W,50.94274N,100%,16C,38%,1_20260405_184202.wav,AGC,48kHz,stereo,Part1,1_20260405_184202.wav,249.0,252.0,249.60335416666666,249.35335416666666,249.85335416666666,0.0013020833333333333,0.0625,0.1705944566832045,179.8294055433168,"left,right"
Recorder 1 - 0304 to 1004,04-05-2026,18:42:02,1.91770W,50.94274N,100%,16C,38%,1_20260405_184202.wav,AGC,48kHz,stereo,Part1,1_20260405_184202.wav,777.0,780.0,779.9391041666667,779.6891041666667,780.0,0.020833333333333332,1.0,2.730540749448636,177.26945925055136,"left,right"
Recorder 1 - 0304 to 1004,04-05-2026,18:42:02,1.91770W,50.94274N,100%,16C,38%,1_20260405_184202.wav,AGC,48kHz,stereo,Part1,1_20260405_184202.wav,1629.0,1632.0,1630.8172291666667,1630.5672291666667,1631.0672291666667,0.0,0.0,0.0,180.0,"left,right"
Recorder 1 - 0304 to 1004,04-05-2026,18:42:02,1.91770W,50.94274N,100%,16C,38%,1_20260405_184202.wav,AGC,48kHz,stereo,Part1,1_20260405_184202.wav,1773.0,1776.0,1775.3335416666666,1775.0835416666666,1775.5835416666666,-0.01953125,-0.9375,357.4402354785634,182.5597645214366,"left,right"
Recorder 1 - 0304 to 1004,04-05-2026,19:12:03,1.91770W,50.94274N,100%,16C,38%,1_20260405_191203.wav,AGC,48kHz,stereo,Part2,1_20260405_191203.wav,123.0,126.0,124.87772916666667,124.62772916666667,125.12772916666667,0.0,0.0,0.0,180.0,"left,right"
Recorder 1 - 0304 to 1004,04-05-2026,19:12:03,1.91770W,50.94274N,100%,16C,38%,1_20260405_191203.wav,AGC,48kHz,stereo,Part2,1_20260405_191203.wav,390.0,393.0,392.56952083333334,392.31952083333334,392.81952083333334,-0.020833333333333332,-1.0,357.26945925055134,182.73054074944866,"left,right"
Recorder 1 - 0304 to 1004,04-06-2026,06:39:02,1.91770W,50.94274N,100%,2C,92%,1_20260406_063902.wav,AGC,48kHz,stereo,Part1,1_20260406_063902.wav,1020.0,1023.0,1021.1283958333333,1020.8783958333333,1021.3783958333333,0.0,0.0,0.0,180.0,"left,right"
Recorder 1 - 0304 to 1004,04-06-2026,06:39:02,1.91770W,50.94274N,100%,2C,92%,1_20260406_063902.wav,AGC,48kHz,stereo,Part1,1_20260406_063902.wav,1344.0,1347.0,1344.1934791666667,1344.0,1344.4434791666667,0.0013020833333333333,0.0625,0.1705944566832045,179.8294055433168,"left,right"
Recorder 1 - 0304 to 1004,04-06-2026,06:39:02,1.91770W,50.94274N,100%,2C,92%,1_20260406_063902.wav,AGC,48kHz,stereo,Part1,1_20260406_063902.wav,1419.0,1422.0,1421.8384375,1421.5884375,1422.0,0.0013020833333333333,0.0625,0.1705944566832045,179.8294055433168,"left,right"
Recorder 1 - 0304 to 1004,04-06-2026,06:39:02,1.91770W,50.94274N,100%,2C,92%,1_20260406_063902.wav,AGC,48kHz,stereo,Part1,1_20260406_063902.wav,1503.0,1506.0,1504.6739166666666,1504.4239166666666,1504.9239166666666,0.20833333333333334,10.0,28.449819023970527,151.55018097602948,"left,right"
